,date,gateway,chain,relays,relays_norm
392,2022-07-01,ap-southeast-1,03DF,15726,0.003625638423375247
390,2022-07-01,ap-east-1,03DF,157,3.619644108291452e-05
402,2022-07-01,us-west-2,03DF,828358,0.1909784174685408
364,2022-07-01,ap-east-1,0021,3501007,0.060003574156051245
362,2022-07-01,us-east-2,0049,2390402,0.05717362251783535
334,2022-07-01,eu-west-3,0040,10234672,0.03561311564901969
333,2022-07-01,eu-west-2,0040,11433270,0.039783821773327704
332,2022-07-01,eu-west-1,0040,1079840,0.00375746939446984
331,2022-07-01,eu-south-1,0040,9761533,0.0339667557143719
330,2022-07-01,eu-north-1,0040,7130572,0.024811922187605195
329,2022-07-01,eu-central-1,0040,74469167,0.2591269223534629
328,2022-07-01,ca-central-1,0040,12264905,0.04267762368830578
327,2022-07-01,ap-southeast-1,0040,28810871,0.1002518576923606
326,2022-07-01,ap-northeast-2,0040,361045,0.0012563116179492918
325,2022-07-01,ap-east-1,0040,10846482,0.03774200266027191
323,2022-07-01,us-east-2,0009,5801324,0.02487117176028412
322,2022-07-01,us-east-1,0009,27453390,0.1176969219598951
321,2022-07-01,eu-west-3,0009,6092988,0.02612158036361183
320,2022-07-01,eu-west-2,0009,10423286,0.0446862365233462
319,2022-07-01,eu-west-1,0009,447766,0.0019196419807642842
318,2022-07-01,eu-south-1,0009,4750707,0.020367014457352166
317,2022-07-01,eu-north-1,0009,16638420,0.07133147564930807
316,2022-07-01,eu-central-1,0009,43028154,0.18446834009994206
315,2022-07-01,ca-central-1,0009,1023796,0.0043891715345482935
314,2022-07-01,ap-southeast-1,0009,35356278,0.15157782308699785
313,2022-07-01,ap-northeast-2,0009,1163625,0.004988640048299424
312,2022-07-01,ap-east-1,0009,18519756,0.07939705357510672
363,2022-07-01,us-west-2,0049,3237331,0.0774304659045995
335,2022-07-01,us-east-1,0040,46110828,0.1604497193692241
336,2022-07-01,us-east-2,0040,25698325,0.08942127507467694
324,2022-07-01,us-west-2,0009,3377861,0.014481411676604355
338,2022-07-01,ap-east-1,0004,5319367,0.09762597855995851
337,2022-07-01,us-west-2,0040,12346888,0.04296289614845434
360,2022-07-01,eu-west-3,0049,1181681,0.02826343996971982
359,2022-07-01,eu-west-2,0049,1235202,0.02954355496743864
