,date,chain,relays,nodes
497,2022-09-04,0040,174183603,10271
496,2022-09-04,0009,261474292,13291
504,2022-09-05,0009,246234571,13201
505,2022-09-05,0040,181939067,10226
506,2022-09-05,0004,133452586,2872
507,2022-09-05,0049,29856384,7116
508,2022-09-05,0021,76349021,11714
509,2022-09-05,0027,78078987,12993
510,2022-09-05,03DF,48949041,4915
511,2022-09-05,0005,25479860,5395
519,2022-09-06,0005,26337564,5161
517,2022-09-06,0027,77334700,12798
516,2022-09-06,0021,72056230,11482
518,2022-09-06,03DF,54894427,4863
514,2022-09-06,0004,109551430,2885
513,2022-09-06,0040,127538745,10092
512,2022-09-06,0009,245602284,13058
515,2022-09-06,0049,30607927,6992
520,2022-09-07,0009,257661761,13169
521,2022-09-07,0040,111698290,10146
522,2022-09-07,0004,108981233,2843
523,2022-09-07,0049,29927641,7049
524,2022-09-07,0021,80668933,11591
525,2022-09-07,0027,86151307,12865
526,2022-09-07,03DF,56526380,4924
527,2022-09-07,0005,28927054,5278
535,2022-09-08,0005,28180418,5210
534,2022-09-08,03DF,56795967,4775
532,2022-09-08,0021,83264940,11559
533,2022-09-08,0027,80746220,12697
530,2022-09-08,0004,102787169,2837
529,2022-09-08,0040,104298221,10037
528,2022-09-08,0009,265662762,13070
531,2022-09-08,0049,29275198,6976
543,2022-09-09,0005,28601122,5353
542,2022-09-09,03DF,61012280,4923
540,2022-09-09,0021,81883664,11717
541,2022-09-09,0027,87218593,12984
538,2022-09-09,0004,99506694,2916
537,2022-09-09,0040,104074126,10245
536,2022-09-09,0009,275186863,13402
539,2022-09-09,0049,29841511,7084
550,2022-09-12,03DF,68133309,4860
544,2022-09-12,0009,269786654,12964
545,2022-09-12,0040,104620237,10108
546,2022-09-12,0004,94535757,2888
547,2022-09-12,0049,28098277,7114
548,2022-09-12,0021,75563770,11362
549,2022-09-12,0027,89239518,12729
551,2022-09-12,0005,27302130,5241
